PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.2,11,0.6,0.7,52.71342771,32.21108914,67.633579,113.922019
0.2,11,0.6,0.8,53.41586725,22.61969112,69.58389191,82.1544013
0.2,11,0.7,0.37,44.67120181,23.54292929,65.5514316,341.5338321
0.2,11,0.7,0.5,53.64622897,26.4745628,67.66467374,174.4962896
0.2,11,0.7,0.61,56.25727214,32.84037559,73.15555556,115.9400769
0.2,11,0.7,0.7,59.31712963,30.3954918,75.66953539,94.39130597
0.2,11,0.7,0.8,60.3030303,35.82634494,77.22547974,65.5622828
0.2,11,0.8,0.37,51.09126984,23.00385728,71.26347867,236.138094
0.2,11,0.8,0.5,57.87878788,30.83674863,79.75641026,119.8601554
0.2,11,0.8,0.61,62.42857143,30.35511364,76.43919365,82.65866511
0.2,11,0.8,0.7,66.66666667,38.23943662,81.57579218,68.49931936
0.2,11,0.8,0.8,67.48493976,40.10230179,81.75,53.31200461
0.2,11,0.9,0.37,54.9299569,24.68829787,75,208.9889325
0.2,11,0.9,0.5,64.76034858,36.359375,77.18083183,108.3301236
0.2,11,0.9,0.61,70.72944297,43.3266129,86.41168564,75.66871822
0.2,11,0.9,0.7,71.73076923,48.75,85.06566604,55.48643583
0.2,11,0.9,0.8,72.29532164,44.70710838,85.46161255,45.32068195
0.2,16,0.5,0.37,45.61268473,10.50859808,65.01679929,497.6140675
0.2,16,0.5,0.5,51.29617267,23.52482877,70.36067708,229.4630562
0.2,16,0.5,0.61,49.54239121,23.92117117,68.93899281,159.3526229
0.2,16,0.5,0.7,54.61647727,20.53648904,75.48611111,117.6853156
0.2,16,0.5,0.8,53.61149665,28.1426299,74.79312354,101.4424826
0.2,16,0.6,0.37,54.27631579,32.26489028,75.75581395,333.188299
0.2,16,0.6,0.5,57.87323944,26.14500913,75.86534721,166.5599908
0.2,16,0.6,0.61,59.43433544,30.81376518,79.06976744,115.9226825
0.2,16,0.6,0.7,62.37928738,32.21626984,81.11558432,87.77561209
0.2,16,0.6,0.8,63.0952381,36.47288777,81.0839599,68.41511207
0.2,16,0.7,0.37,62.06349206,28.40808824,78.74730603,229.2265556
0.2,16,0.7,0.5,65.8145443,39.44805195,85.85451977,126.1728541
0.2,16,0.7,0.61,69.49152542,39.24758221,86.78696343,91.71594601
0.2,16,0.7,0.7,71.04166667,42.31303419,86.37083812,66.46668803
0.2,16,0.7,0.8,72.79220779,50.98830409,85.40601023,53.10265483
0.2,16,0.8,0.37,66.66666667,41.95588235,86.32130125,193.2279452
0.2,16,0.8,0.5,74.05329593,45.87583149,87.84368071,101.5185077
0.2,16,0.8,0.61,76.33971292,46.36363636,90.12804878,69.41654961
0.2,16,0.8,0.7,77.68199234,47.90229885,91.88663746,55.66194622
0.2,16,0.8,0.8,80.16393443,52.15909091,91.73330888,43.69384311
